optimal_tour,optimal_tour_length,simulated_annealing_tour,simulated_annealing_tour_length,score,time
"{1, 13, 16, 11, 2, 4, 17, 18, 6, 19, 8, 15, 3, 10, 5, 20, 14, 7, 9, 12, 1}",3.482195,"{1, 12, 9, 7, 14, 20, 5, 10, 3, 8, 19, 6, 15, 18, 17, 4, 2, 11, 16, 13, 1}",3.525517,0.012441,0.048490
"{1, 2, 18, 4, 16, 19, 5, 6, 13, 8, 15, 11, 9, 3, 7, 12, 14, 20, 10, 17, 1}",3.701658,"{1, 2, 18, 4, 16, 19, 6, 13, 8, 15, 11, 9, 5, 3, 7, 12, 14, 20, 10, 17, 1}",3.868879,0.045174,0.048220
"{1, 11, 12, 2, 10, 18, 6, 9, 4, 5, 20, 7, 14, 13, 8, 16, 19, 17, 3, 15, 1}",3.799545,"{1, 15, 3, 17, 19, 16, 8, 13, 14, 7, 20, 5, 4, 9, 6, 18, 10, 2, 12, 11, 1}",3.799545,0.000000,0.048724
"{1, 7, 17, 14, 16, 15, 6, 4, 18, 3, 20, 10, 5, 9, 12, 11, 19, 13, 2, 8, 1}",3.931634,"{1, 7, 17, 11, 19, 12, 9, 5, 10, 20, 3, 18, 4, 6, 14, 15, 16, 8, 2, 13, 1}",3.985823,0.013783,0.048606
"{1, 4, 19, 11, 20, 14, 17, 16, 18, 6, 7, 8, 9, 3, 10, 12, 2, 5, 13, 15, 1}",3.515931,"{1, 4, 11, 19, 14, 17, 18, 6, 7, 16, 20, 8, 9, 10, 2, 12, 3, 5, 13, 15, 1}",3.730593,0.061054,0.048308
"{1, 2, 12, 16, 13, 15, 11, 10, 9, 8, 14, 6, 19, 7, 4, 18, 5, 3, 20, 17, 1}",3.812864,"{1, 2, 12, 16, 13, 15, 11, 10, 9, 8, 14, 6, 19, 7, 4, 18, 5, 3, 20, 17, 1}",3.812864,0.000000,0.048667
"{1, 14, 9, 3, 8, 5, 16, 10, 11, 7, 6, 12, 17, 15, 4, 13, 20, 19, 18, 2, 1}",3.912581,"{1, 2, 18, 19, 20, 11, 10, 16, 5, 6, 7, 13, 4, 15, 17, 12, 8, 3, 9, 14, 1}",4.250763,0.086434,0.048960
"{1, 5, 11, 2, 4, 18, 12, 19, 15, 9, 16, 3, 6, 14, 20, 13, 17, 7, 8, 10, 1}",4.160736,"{1, 5, 4, 18, 12, 3, 6, 16, 14, 9, 15, 19, 2, 11, 8, 7, 20, 13, 17, 10, 1}",4.358491,0.047529,0.048400
"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 12, 15, 11, 20, 2, 1}",3.979102,"{1, 20, 11, 15, 12, 16, 4, 7, 17, 3, 5, 9, 6, 10, 14, 8, 18, 2, 13, 19, 1}",4.054664,0.018990,0.048684
"{1, 13, 2, 14, 10, 17, 19, 4, 16, 9, 5, 3, 12, 6, 11, 20, 18, 15, 7, 8, 1}",4.780822,"{1, 14, 10, 17, 19, 4, 16, 5, 3, 12, 9, 6, 11, 20, 18, 15, 13, 2, 7, 8, 1}",5.198183,0.087299,0.048168
"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.078830,"{1, 11, 9, 14, 16, 7, 15, 3, 18, 17, 12, 4, 13, 20, 2, 8, 5, 6, 19, 10, 1}",4.376487,0.072976,0.048527
"{1, 16, 20, 18, 4, 12, 19, 14, 17, 13, 6, 5, 8, 7, 2, 11, 9, 10, 15, 3, 1}",4.262625,"{1, 16, 20, 18, 4, 12, 19, 14, 17, 13, 6, 5, 8, 7, 2, 11, 9, 10, 15, 3, 1}",4.262625,0.000000,0.048411
"{1, 14, 19, 5, 8, 18, 17, 9, 16, 20, 10, 6, 13, 15, 7, 3, 11, 12, 2, 4, 1}",3.456365,"{1, 4, 2, 12, 11, 3, 7, 15, 13, 6, 10, 20, 14, 16, 9, 17, 18, 8, 5, 19, 1}",3.481752,0.007345,0.048509
"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,0.000000,0.047805
"{1, 17, 9, 10, 5, 18, 3, 13, 6, 19, 16, 8, 12, 7, 14, 11, 20, 15, 4, 2, 1}",4.004752,"{1, 12, 9, 10, 17, 5, 18, 3, 13, 6, 19, 8, 16, 7, 14, 11, 20, 15, 4, 2, 1}",4.075978,0.017785,0.046791
"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 6, 13, 2, 4, 17, 18, 9, 14, 1}",3.382039,"{1, 14, 9, 18, 17, 4, 2, 13, 6, 5, 8, 10, 19, 12, 20, 7, 16, 11, 3, 15, 1}",3.382039,0.000000,0.046696
"{1, 11, 19, 16, 18, 6, 14, 9, 13, 5, 12, 15, 3, 17, 4, 7, 20, 8, 10, 2, 1}",3.972566,"{1, 2, 10, 8, 20, 7, 4, 17, 3, 15, 12, 5, 13, 9, 14, 6, 18, 16, 19, 11, 1}",3.972565,0.000000,0.046765
"{1, 4, 14, 12, 2, 10, 16, 6, 13, 18, 3, 17, 9, 11, 20, 8, 19, 5, 7, 15, 1}",4.439022,"{1, 5, 19, 8, 20, 11, 9, 17, 3, 18, 13, 6, 16, 10, 2, 15, 7, 12, 14, 4, 1}",4.534700,0.021554,0.046782
"{1, 13, 9, 11, 7, 6, 15, 2, 4, 18, 17, 5, 8, 19, 14, 12, 20, 10, 16, 3, 1}",3.491404,"{1, 3, 16, 10, 20, 12, 14, 19, 8, 5, 17, 18, 4, 2, 15, 6, 7, 11, 9, 13, 1}",3.491404,0.000000,0.046611
"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,"{1, 4, 5, 16, 20, 8, 2, 10, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 12, 17, 1}",4.167236,0.054121,0.047153
"{1, 3, 16, 11, 10, 12, 20, 5, 14, 17, 7, 2, 15, 18, 9, 6, 4, 13, 19, 8, 1}",3.780954,"{1, 8, 19, 13, 4, 2, 7, 17, 15, 18, 6, 9, 14, 5, 20, 12, 10, 11, 16, 3, 1}",3.965677,0.048856,0.046787
"{1, 10, 8, 13, 11, 19, 3, 6, 5, 9, 12, 18, 15, 2, 16, 7, 20, 17, 14, 4, 1}",3.371196,"{1, 10, 8, 13, 11, 19, 9, 5, 12, 18, 15, 2, 16, 7, 20, 17, 14, 6, 3, 4, 1}",3.562649,0.056791,0.046723
"{1, 13, 2, 11, 12, 8, 15, 7, 19, 9, 4, 20, 16, 10, 5, 6, 18, 14, 3, 17, 1}",3.770459,"{1, 17, 3, 14, 18, 6, 16, 5, 10, 20, 4, 9, 19, 7, 15, 8, 12, 11, 2, 13, 1}",3.805683,0.009342,0.046754
"{1, 10, 6, 8, 16, 20, 3, 11, 4, 14, 17, 15, 19, 12, 2, 5, 9, 13, 18, 7, 1}",4.074657,"{1, 7, 18, 13, 9, 5, 2, 12, 19, 15, 17, 14, 4, 11, 3, 20, 16, 6, 8, 10, 1}",4.072871,-0.000438,0.046929
"{1, 8, 14, 20, 7, 10, 16, 5, 6, 18, 4, 15, 13, 11, 17, 9, 12, 2, 3, 19, 1}",3.231835,"{1, 19, 3, 2, 12, 9, 17, 11, 13, 15, 4, 18, 6, 5, 16, 10, 7, 20, 14, 8, 1}",3.231835,0.000000,0.047035
"{1, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 13, 12, 14, 19, 11, 18, 6, 1}",3.806571,"{1, 6, 18, 11, 19, 14, 12, 13, 5, 16, 2, 9, 20, 7, 3, 10, 8, 15, 17, 4, 1}",3.806571,0.000000,0.046891
"{1, 14, 3, 17, 7, 5, 2, 18, 6, 4, 9, 11, 20, 16, 13, 15, 12, 10, 19, 8, 1}",3.555058,"{1, 8, 19, 10, 12, 15, 13, 16, 20, 11, 9, 4, 6, 18, 2, 5, 7, 17, 3, 14, 1}",3.555058,0.000000,0.046839
"{1, 18, 10, 3, 20, 7, 12, 13, 17, 4, 9, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.685515,"{1, 18, 10, 3, 20, 7, 17, 4, 9, 13, 12, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.726968,0.011247,0.046996
"{1, 3, 17, 13, 8, 20, 15, 7, 11, 19, 9, 2, 14, 6, 18, 4, 16, 12, 5, 10, 1}",3.634190,"{1, 3, 17, 13, 8, 20, 15, 7, 11, 19, 9, 2, 14, 6, 18, 4, 16, 12, 5, 10, 1}",3.634190,0.000000,0.046830
"{1, 19, 16, 17, 8, 7, 14, 6, 12, 15, 10, 20, 11, 9, 5, 13, 3, 4, 2, 18, 1}",4.026299,"{1, 4, 2, 18, 17, 8, 7, 14, 6, 12, 10, 20, 11, 5, 13, 3, 9, 15, 16, 19, 1}",4.225357,0.049439,0.046564
"{1, 19, 20, 12, 9, 10, 14, 8, 16, 2, 13, 4, 6, 17, 3, 18, 5, 7, 15, 11, 1}",3.557369,"{1, 19, 20, 12, 9, 10, 16, 2, 13, 4, 8, 14, 6, 17, 3, 18, 5, 7, 15, 11, 1}",3.651878,0.026567,0.046732
"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 9, 7, 15, 3, 6, 13, 4, 16, 1}",3.502678,"{1, 4, 16, 20, 19, 17, 5, 2, 12, 14, 13, 11, 18, 9, 7, 15, 3, 6, 8, 10, 1}",3.808015,0.087172,0.048934
"{1, 7, 13, 4, 5, 6, 15, 19, 9, 12, 17, 18, 20, 10, 8, 2, 14, 11, 16, 3, 1}",3.979385,"{1, 7, 13, 4, 5, 6, 15, 19, 9, 12, 17, 18, 20, 10, 8, 2, 14, 11, 16, 3, 1}",3.979385,0.000000,0.048369
"{1, 16, 10, 8, 17, 9, 3, 2, 14, 4, 12, 6, 18, 19, 5, 11, 7, 20, 15, 13, 1}",3.989491,"{1, 10, 16, 15, 13, 20, 4, 12, 7, 11, 5, 19, 18, 6, 17, 8, 9, 3, 2, 14, 1}",4.224577,0.058926,0.046946
"{1, 6, 7, 13, 4, 11, 8, 18, 2, 12, 5, 16, 15, 10, 14, 9, 3, 19, 17, 20, 1}",3.445786,"{1, 7, 13, 6, 4, 11, 8, 18, 2, 12, 5, 14, 16, 15, 10, 9, 3, 19, 17, 20, 1}",3.514774,0.020021,0.046944
"{1, 3, 2, 15, 4, 10, 11, 14, 19, 8, 20, 12, 7, 6, 17, 13, 9, 16, 5, 18, 1}",4.204516,"{1, 18, 5, 16, 9, 13, 17, 6, 12, 7, 8, 20, 10, 19, 14, 11, 15, 2, 3, 4, 1}",4.405982,0.047917,0.046979
"{1, 6, 7, 20, 11, 15, 10, 2, 9, 13, 18, 16, 5, 14, 8, 17, 12, 4, 3, 19, 1}",4.102246,"{1, 19, 20, 3, 4, 12, 17, 10, 8, 14, 5, 16, 18, 13, 9, 2, 15, 11, 7, 6, 1}",4.171426,0.016864,0.048770
"{1, 3, 17, 15, 18, 7, 14, 8, 5, 13, 12, 6, 2, 16, 10, 20, 11, 19, 4, 9, 1}",4.085589,"{1, 3, 17, 15, 18, 7, 14, 8, 5, 13, 12, 6, 2, 16, 10, 9, 20, 11, 19, 4, 1}",4.153084,0.016520,0.049060
"{1, 14, 5, 12, 20, 16, 3, 15, 7, 10, 2, 19, 8, 18, 4, 9, 17, 11, 13, 6, 1}",3.822300,"{1, 6, 13, 8, 17, 11, 9, 4, 18, 19, 2, 10, 7, 15, 3, 16, 20, 12, 5, 14, 1}",3.859335,0.009689,0.048468
"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,0.000000,0.047158
"{1, 19, 20, 6, 8, 13, 7, 4, 10, 9, 11, 18, 2, 16, 12, 5, 17, 15, 3, 14, 1}",3.887375,"{1, 19, 20, 6, 8, 13, 7, 4, 10, 9, 11, 18, 2, 16, 12, 5, 17, 15, 3, 14, 1}",3.887375,0.000000,0.047384
"{1, 17, 13, 6, 8, 12, 20, 5, 7, 15, 19, 18, 14, 3, 10, 16, 11, 4, 9, 2, 1}",4.029413,"{1, 2, 9, 4, 11, 16, 3, 14, 5, 10, 18, 19, 15, 7, 20, 12, 8, 6, 13, 17, 1}",4.215468,0.046174,0.046900
"{1, 18, 12, 19, 15, 4, 9, 8, 6, 17, 2, 11, 20, 10, 14, 16, 13, 7, 3, 5, 1}",4.105566,"{1, 18, 12, 19, 15, 4, 9, 8, 6, 17, 2, 11, 20, 10, 14, 16, 13, 7, 3, 5, 1}",4.105566,0.000000,0.047509
"{1, 16, 4, 3, 18, 5, 8, 10, 19, 9, 15, 17, 2, 6, 11, 12, 14, 7, 20, 13, 1}",3.967801,"{1, 16, 4, 3, 18, 5, 8, 10, 19, 9, 15, 17, 2, 12, 14, 11, 6, 7, 20, 13, 1}",4.008654,0.010296,0.047085
"{1, 8, 11, 19, 6, 15, 5, 10, 2, 18, 7, 17, 9, 14, 20, 13, 16, 4, 12, 3, 1}",3.466249,"{1, 16, 13, 4, 3, 12, 20, 14, 9, 17, 7, 18, 2, 10, 5, 15, 6, 19, 11, 8, 1}",3.475271,0.002603,0.047091
"{1, 12, 18, 4, 20, 5, 2, 9, 15, 10, 13, 17, 19, 11, 8, 7, 3, 14, 6, 16, 1}",4.795065,"{1, 16, 3, 6, 14, 17, 13, 10, 19, 11, 9, 15, 2, 20, 5, 4, 18, 8, 7, 12, 1}",5.019560,0.046818,0.050345
"{1, 15, 14, 13, 19, 18, 16, 17, 2, 20, 7, 10, 8, 3, 6, 11, 9, 12, 4, 5, 1}",3.469141,"{1, 15, 16, 17, 18, 2, 20, 7, 10, 8, 3, 6, 11, 19, 14, 13, 9, 12, 4, 5, 1}",3.651517,0.052571,0.047520
"{1, 12, 14, 7, 5, 8, 10, 9, 4, 18, 6, 11, 2, 15, 3, 17, 20, 19, 16, 13, 1}",3.482816,"{1, 13, 14, 9, 16, 19, 20, 17, 3, 15, 2, 11, 6, 18, 4, 10, 8, 5, 7, 12, 1}",3.558697,0.021787,0.046839
"{1, 5, 17, 20, 10, 7, 8, 6, 9, 18, 15, 11, 4, 12, 3, 14, 19, 13, 16, 2, 1}",3.536839,"{1, 7, 10, 20, 17, 5, 2, 16, 13, 19, 14, 3, 12, 4, 11, 15, 18, 9, 6, 8, 1}",3.582066,0.012787,0.047003
"{1, 18, 14, 16, 9, 8, 4, 13, 20, 12, 3, 17, 5, 7, 11, 6, 10, 19, 2, 15, 1}",3.943122,"{1, 18, 14, 16, 10, 6, 9, 8, 4, 13, 20, 12, 3, 17, 5, 11, 7, 19, 2, 15, 1}",3.954768,0.002954,0.048329
"{1, 2, 17, 3, 7, 6, 8, 16, 14, 4, 9, 20, 13, 15, 18, 10, 12, 11, 19, 5, 1}",3.248978,"{1, 5, 19, 11, 12, 10, 18, 15, 13, 20, 9, 4, 14, 16, 8, 6, 7, 3, 17, 2, 1}",3.248977,0.000000,0.046781
"{1, 20, 2, 19, 15, 10, 13, 18, 4, 16, 9, 14, 11, 7, 8, 12, 3, 17, 5, 6, 1}",3.764408,"{1, 6, 5, 17, 3, 12, 8, 7, 11, 14, 9, 4, 18, 16, 13, 10, 15, 19, 2, 20, 1}",3.764701,0.000078,0.046682
"{1, 20, 18, 16, 3, 11, 13, 7, 5, 6, 15, 19, 2, 17, 9, 12, 8, 10, 14, 4, 1}",3.301753,"{1, 4, 14, 10, 8, 12, 9, 17, 2, 19, 15, 6, 5, 7, 13, 11, 3, 16, 18, 20, 1}",3.301753,0.000000,0.047204
"{1, 15, 8, 6, 12, 3, 17, 19, 18, 4, 20, 11, 10, 14, 5, 2, 7, 16, 13, 9, 1}",3.646290,"{1, 15, 8, 6, 12, 16, 3, 17, 19, 18, 4, 20, 11, 10, 14, 7, 5, 2, 13, 9, 1}",3.873210,0.062233,0.048716
"{1, 4, 19, 6, 15, 2, 18, 16, 17, 10, 12, 11, 20, 3, 13, 14, 8, 9, 5, 7, 1}",3.703065,"{1, 4, 19, 7, 6, 15, 2, 18, 16, 17, 10, 12, 11, 20, 3, 13, 14, 8, 9, 5, 1}",3.713300,0.002764,0.046679
"{1, 3, 13, 8, 20, 19, 18, 6, 4, 15, 9, 17, 11, 10, 16, 2, 12, 5, 14, 7, 1}",3.403824,"{1, 14, 7, 6, 19, 18, 4, 15, 9, 17, 11, 10, 16, 2, 12, 5, 13, 20, 8, 3, 1}",3.770815,0.107817,0.046617
"{1, 10, 20, 12, 4, 18, 2, 14, 3, 11, 13, 5, 17, 19, 16, 6, 7, 9, 15, 8, 1}",3.974075,"{1, 8, 15, 9, 7, 6, 16, 19, 17, 5, 13, 11, 3, 2, 14, 18, 4, 12, 20, 10, 1}",3.973620,-0.000115,0.046784
"{1, 4, 7, 3, 14, 10, 6, 15, 13, 8, 9, 16, 17, 12, 20, 5, 19, 11, 18, 2, 1}",3.969007,"{1, 2, 18, 7, 12, 16, 17, 20, 5, 11, 19, 9, 8, 13, 15, 6, 10, 14, 3, 4, 1}",4.122797,0.038748,0.047071
"{1, 19, 9, 4, 15, 18, 5, 12, 14, 17, 16, 6, 13, 11, 8, 7, 10, 2, 20, 3, 1}",3.814619,"{1, 19, 9, 4, 15, 18, 5, 12, 14, 17, 16, 6, 13, 11, 8, 7, 10, 2, 20, 3, 1}",3.814619,0.000000,0.046623
"{1, 16, 17, 4, 10, 9, 20, 11, 5, 19, 2, 7, 14, 6, 3, 12, 18, 13, 15, 8, 1}",3.729522,"{1, 18, 12, 3, 6, 14, 19, 2, 5, 11, 20, 9, 7, 13, 15, 8, 10, 4, 17, 16, 1}",4.239873,0.136841,0.046639
"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,0.000000,0.046791
"{1, 9, 18, 6, 15, 8, 20, 19, 17, 7, 2, 12, 16, 14, 4, 3, 11, 5, 13, 10, 1}",3.732700,"{1, 10, 13, 5, 11, 3, 4, 14, 16, 12, 2, 7, 17, 19, 20, 8, 15, 6, 18, 9, 1}",3.732700,0.000000,0.046601
"{1, 7, 19, 18, 3, 12, 20, 6, 8, 10, 2, 14, 15, 5, 9, 11, 17, 16, 4, 13, 1}",3.925524,"{1, 13, 4, 16, 17, 11, 9, 5, 15, 14, 2, 10, 8, 6, 20, 12, 3, 18, 19, 7, 1}",3.925524,0.000000,0.046755
"{1, 9, 16, 7, 18, 15, 4, 10, 13, 5, 3, 14, 11, 8, 20, 19, 6, 17, 2, 12, 1}",4.177693,"{1, 9, 16, 7, 18, 15, 11, 8, 14, 3, 5, 19, 20, 6, 17, 2, 12, 13, 4, 10, 1}",4.201169,0.005619,0.046973
"{1, 10, 2, 13, 9, 20, 8, 17, 16, 11, 19, 15, 3, 5, 6, 18, 14, 7, 12, 4, 1}",4.005063,"{1, 6, 10, 2, 9, 20, 8, 13, 17, 16, 11, 19, 15, 3, 5, 18, 14, 7, 12, 4, 1}",4.305860,0.075104,0.046864
"{1, 8, 4, 9, 6, 2, 15, 10, 13, 3, 18, 7, 14, 11, 20, 5, 12, 16, 17, 19, 1}",4.003620,"{1, 19, 9, 16, 17, 12, 5, 20, 11, 14, 7, 18, 3, 13, 10, 15, 2, 6, 4, 8, 1}",4.050805,0.011786,0.046810
"{1, 19, 11, 9, 17, 14, 13, 7, 6, 15, 4, 10, 18, 12, 3, 5, 8, 20, 2, 16, 1}",4.069552,"{1, 2, 20, 8, 5, 3, 12, 18, 10, 4, 15, 6, 7, 13, 14, 17, 9, 11, 16, 19, 1}",4.081187,0.002859,0.046694
"{1, 11, 2, 6, 20, 4, 13, 7, 10, 16, 14, 5, 15, 12, 18, 9, 17, 19, 3, 8, 1}",3.183201,"{1, 8, 11, 13, 4, 7, 10, 16, 14, 5, 15, 12, 18, 9, 3, 17, 19, 20, 6, 2, 1}",3.336409,0.048130,0.046925
"{1, 10, 2, 19, 12, 16, 7, 17, 11, 20, 14, 15, 6, 9, 8, 18, 5, 13, 3, 4, 1}",3.506426,"{1, 10, 2, 19, 12, 16, 7, 17, 11, 20, 14, 15, 6, 9, 8, 18, 5, 3, 4, 13, 1}",3.518402,0.003415,0.046814
"{1, 19, 5, 11, 4, 8, 3, 13, 14, 18, 20, 12, 9, 7, 2, 16, 10, 15, 17, 6, 1}",3.565069,"{1, 19, 5, 11, 4, 8, 3, 13, 14, 12, 18, 20, 9, 7, 2, 16, 10, 15, 17, 6, 1}",3.582749,0.004959,0.046893
"{1, 9, 8, 3, 12, 2, 13, 4, 15, 20, 10, 18, 7, 14, 17, 6, 5, 11, 19, 16, 1}",4.005012,"{1, 9, 8, 3, 12, 2, 13, 4, 10, 18, 7, 20, 15, 14, 17, 6, 5, 11, 19, 16, 1}",4.029226,0.006046,0.046972
"{1, 12, 2, 16, 6, 15, 5, 7, 14, 10, 19, 8, 11, 4, 3, 13, 9, 20, 18, 17, 1}",4.007835,"{1, 12, 5, 7, 14, 15, 6, 2, 16, 10, 19, 8, 11, 4, 3, 13, 9, 20, 18, 17, 1}",4.190541,0.045587,0.046757
"{1, 9, 15, 11, 13, 17, 12, 19, 8, 5, 6, 10, 18, 2, 14, 3, 4, 7, 20, 16, 1}",3.340037,"{1, 16, 20, 7, 4, 14, 3, 10, 9, 6, 18, 2, 5, 8, 19, 12, 17, 13, 11, 15, 1}",3.551146,0.063206,0.046523
"{1, 4, 14, 18, 9, 3, 6, 5, 12, 16, 10, 15, 17, 13, 20, 7, 11, 19, 2, 8, 1}",3.746554,"{1, 8, 2, 19, 11, 7, 15, 20, 17, 13, 10, 16, 12, 5, 6, 3, 9, 18, 14, 4, 1}",3.765740,0.005121,0.046706
"{1, 9, 8, 11, 14, 3, 20, 13, 2, 17, 16, 18, 5, 19, 12, 4, 7, 10, 6, 15, 1}",3.382577,"{1, 15, 6, 10, 7, 4, 12, 19, 5, 18, 16, 17, 2, 3, 20, 13, 8, 11, 14, 9, 1}",3.612025,0.067832,0.046713
"{1, 5, 12, 18, 20, 11, 19, 17, 2, 16, 8, 3, 10, 14, 6, 7, 15, 9, 4, 13, 1}",3.947663,"{1, 5, 12, 18, 20, 11, 19, 17, 2, 16, 8, 3, 10, 14, 7, 15, 6, 9, 4, 13, 1}",4.086092,0.035066,0.046594
"{1, 15, 4, 2, 19, 8, 16, 11, 9, 7, 12, 5, 17, 10, 20, 3, 18, 14, 6, 13, 1}",3.923082,"{1, 15, 4, 2, 19, 8, 16, 11, 9, 7, 12, 5, 17, 10, 20, 3, 18, 14, 6, 13, 1}",3.923082,0.000000,0.046620
"{1, 4, 11, 6, 20, 13, 12, 19, 17, 10, 9, 8, 5, 2, 7, 14, 15, 18, 16, 3, 1}",3.830351,"{1, 4, 2, 11, 6, 20, 13, 12, 19, 17, 10, 9, 8, 5, 7, 14, 15, 18, 16, 3, 1}",4.263021,0.112958,0.046713
