optimal_tour,optimal_tour_length,transformer_tour,transformer_tour_length,score,time
"{1, 20, 19, 6, 27, 29, 28, 11, 12, 2, 15, 25, 4, 3, 5, 9, 10, 22, 17, 30, 13, 21, 26, 24, 14, 8, 7, 23, 18, 16, 1}",4.587878,"{1, 20, 10, 22, 17, 30, 14, 8, 7, 23, 18, 16, 28, 29, 11, 27, 6, 12, 19, 2, 15, 25, 9, 5, 4, 3, 13, 21, 26, 24, 1}",5.397443,0.176457,0.042709
"{1, 29, 30, 24, 14, 26, 18, 7, 3, 23, 10, 8, 12, 27, 11, 5, 6, 28, 22, 16, 21, 13, 20, 2, 25, 4, 17, 19, 15, 9, 1}",4.594478,"{1, 29, 18, 7, 3, 23, 10, 8, 12, 27, 11, 5, 22, 6, 28, 16, 21, 13, 20, 2, 25, 4, 17, 19, 15, 9, 30, 24, 14, 26, 1}",4.703742,0.023781,0.042701
"{1, 6, 18, 13, 19, 29, 21, 25, 30, 15, 4, 16, 22, 2, 17, 24, 3, 20, 8, 9, 14, 5, 12, 26, 28, 10, 11, 7, 23, 27, 1}",4.759156,"{1, 27, 23, 7, 11, 10, 28, 26, 12, 5, 14, 9, 8, 20, 3, 24, 17, 2, 22, 16, 4, 15, 30, 25, 21, 29, 19, 13, 18, 6, 1}",4.759157,0.000000,0.042603
"{1, 28, 20, 16, 9, 10, 26, 30, 7, 22, 19, 18, 27, 8, 4, 25, 11, 29, 5, 21, 24, 6, 13, 17, 15, 23, 14, 12, 2, 3, 1}",4.759961,"{1, 28, 20, 16, 9, 7, 22, 19, 18, 27, 8, 4, 25, 29, 11, 24, 6, 13, 17, 15, 23, 14, 12, 2, 21, 5, 30, 26, 3, 10, 1}",4.770543,0.002223,0.042600
"{1, 17, 20, 5, 16, 27, 7, 19, 24, 14, 11, 4, 29, 28, 3, 22, 26, 18, 2, 8, 6, 30, 23, 9, 12, 10, 15, 13, 21, 25, 1}",4.661201,"{1, 17, 5, 16, 27, 7, 19, 14, 24, 11, 4, 29, 28, 3, 22, 26, 18, 2, 8, 6, 30, 23, 9, 12, 10, 15, 13, 21, 25, 20, 1}",4.682477,0.004564,0.042696
"{1, 26, 20, 15, 11, 13, 21, 27, 8, 12, 22, 29, 19, 28, 9, 24, 18, 7, 3, 10, 6, 30, 25, 23, 16, 2, 14, 4, 17, 5, 1}",4.771209,"{1, 5, 17, 4, 14, 2, 16, 23, 25, 30, 7, 18, 24, 9, 28, 19, 29, 22, 12, 8, 27, 21, 13, 11, 15, 20, 6, 10, 3, 26, 1}",5.010082,0.050066,0.042738
"{1, 24, 23, 29, 30, 21, 6, 26, 4, 22, 9, 7, 3, 5, 16, 8, 12, 10, 17, 13, 18, 14, 27, 20, 15, 25, 2, 11, 28, 19, 1}",4.084283,"{1, 19, 28, 11, 7, 9, 22, 4, 3, 5, 16, 8, 12, 10, 17, 2, 13, 18, 25, 14, 15, 27, 20, 24, 23, 29, 30, 21, 6, 26, 1}",4.259389,0.042873,0.042812
"{1, 8, 18, 16, 2, 11, 12, 27, 23, 22, 5, 17, 29, 26, 14, 15, 7, 30, 19, 28, 10, 3, 20, 6, 25, 24, 4, 21, 13, 9, 1}",5.373356,"{1, 9, 13, 21, 4, 24, 25, 6, 20, 3, 10, 28, 19, 14, 30, 7, 15, 29, 17, 5, 22, 23, 27, 12, 11, 2, 16, 18, 8, 26, 1}",5.405231,0.005932,0.043093
"{1, 12, 17, 15, 4, 23, 27, 20, 13, 3, 14, 16, 21, 22, 29, 19, 26, 25, 24, 2, 7, 6, 9, 18, 8, 5, 10, 11, 28, 30, 1}",4.703946,"{1, 12, 17, 15, 4, 23, 27, 20, 13, 21, 3, 14, 16, 25, 22, 29, 19, 26, 2, 24, 7, 6, 9, 8, 18, 5, 10, 11, 28, 30, 1}",4.776159,0.015352,0.042575
"{1, 28, 25, 7, 15, 16, 3, 26, 30, 27, 14, 29, 2, 24, 11, 21, 12, 5, 9, 10, 19, 18, 8, 4, 13, 22, 17, 20, 23, 6, 1}",4.257430,"{1, 28, 27, 30, 26, 3, 16, 15, 7, 25, 17, 22, 13, 4, 8, 18, 20, 23, 6, 14, 29, 2, 24, 11, 21, 12, 5, 9, 19, 10, 1}",4.559082,0.070853,0.042774
"{1, 30, 8, 18, 28, 17, 7, 23, 26, 24, 5, 27, 13, 15, 10, 12, 9, 3, 21, 11, 16, 6, 25, 20, 29, 22, 19, 2, 14, 4, 1}",4.408784,"{1, 4, 14, 2, 29, 22, 19, 25, 20, 6, 16, 11, 21, 3, 9, 12, 10, 15, 13, 27, 5, 24, 26, 23, 7, 17, 28, 18, 8, 30, 1}",4.532733,0.028114,0.044631
"{1, 6, 4, 19, 28, 10, 5, 12, 9, 24, 20, 27, 8, 2, 30, 18, 11, 13, 15, 29, 16, 14, 26, 17, 3, 23, 7, 25, 21, 22, 1}",4.805601,"{1, 22, 21, 25, 7, 23, 3, 17, 26, 14, 16, 29, 15, 13, 11, 18, 30, 2, 8, 27, 20, 24, 9, 12, 5, 10, 28, 19, 4, 6, 1}",4.805601,0.000000,0.042929
"{1, 15, 20, 8, 5, 29, 3, 7, 21, 2, 26, 14, 12, 19, 25, 22, 10, 4, 18, 16, 30, 28, 13, 9, 11, 27, 17, 6, 24, 23, 1}",4.645895,"{1, 15, 20, 6, 17, 27, 11, 9, 13, 28, 30, 16, 18, 4, 10, 22, 25, 19, 12, 14, 26, 2, 7, 21, 29, 5, 8, 3, 23, 24, 1}",4.790267,0.031075,0.042838
"{1, 16, 25, 6, 9, 17, 26, 24, 2, 14, 3, 13, 22, 29, 11, 4, 20, 12, 10, 30, 18, 7, 21, 27, 28, 23, 19, 5, 15, 8, 1}",4.538300,"{1, 16, 25, 6, 9, 17, 26, 24, 2, 14, 3, 13, 22, 29, 11, 4, 20, 12, 10, 30, 18, 7, 21, 27, 28, 23, 19, 5, 15, 8, 1}",4.538300,0.000000,0.042608
"{1, 21, 11, 27, 10, 13, 30, 23, 24, 19, 29, 17, 7, 15, 3, 20, 28, 26, 5, 6, 14, 2, 8, 22, 9, 4, 12, 18, 25, 16, 1}",4.395518,"{1, 16, 25, 18, 12, 4, 9, 22, 8, 26, 28, 20, 5, 6, 2, 14, 19, 29, 3, 15, 7, 17, 24, 23, 30, 13, 10, 27, 11, 21, 1}",4.515365,0.027266,0.042659
"{1, 16, 22, 18, 14, 5, 27, 17, 7, 28, 25, 12, 11, 8, 3, 6, 2, 21, 4, 24, 29, 15, 20, 13, 9, 10, 30, 26, 19, 23, 1}",4.212930,"{1, 16, 22, 18, 14, 5, 27, 17, 7, 28, 25, 12, 11, 8, 3, 6, 2, 21, 4, 24, 29, 15, 20, 13, 9, 10, 30, 26, 19, 23, 1}",4.212930,0.000000,0.042724
"{1, 16, 26, 18, 20, 27, 23, 7, 17, 4, 5, 30, 29, 13, 21, 14, 24, 8, 22, 2, 6, 28, 19, 3, 11, 15, 25, 10, 12, 9, 1}",4.923536,"{1, 16, 26, 18, 23, 27, 20, 7, 17, 4, 5, 30, 29, 13, 21, 14, 24, 8, 22, 2, 6, 28, 19, 3, 11, 15, 25, 10, 12, 9, 1}",4.926769,0.000657,0.042613
"{1, 4, 12, 17, 23, 3, 16, 22, 30, 18, 2, 15, 19, 14, 8, 5, 27, 21, 29, 20, 11, 13, 28, 24, 7, 9, 25, 26, 10, 6, 1}",4.352213,"{1, 4, 12, 17, 23, 3, 16, 22, 30, 18, 2, 15, 19, 14, 8, 5, 27, 21, 29, 20, 11, 13, 28, 24, 7, 9, 25, 26, 10, 6, 1}",4.352213,0.000000,0.042596
"{1, 3, 14, 2, 18, 28, 16, 22, 25, 9, 4, 27, 26, 20, 13, 23, 30, 12, 21, 10, 19, 29, 5, 11, 6, 15, 24, 7, 8, 17, 1}",4.442610,"{1, 17, 8, 16, 22, 25, 9, 4, 27, 28, 2, 14, 3, 18, 26, 20, 13, 23, 30, 12, 21, 10, 19, 29, 5, 11, 6, 15, 24, 7, 1}",4.567884,0.028198,0.043036
"{1, 4, 16, 2, 10, 11, 18, 28, 15, 20, 27, 5, 17, 8, 6, 19, 24, 21, 13, 22, 12, 26, 9, 14, 23, 30, 3, 7, 29, 25, 1}",4.338206,"{1, 25, 7, 3, 29, 30, 23, 14, 9, 26, 12, 22, 13, 21, 24, 27, 5, 19, 6, 8, 17, 20, 15, 28, 18, 11, 10, 2, 16, 4, 1}",4.373222,0.008072,0.042662
"{1, 13, 20, 4, 19, 27, 17, 28, 14, 9, 16, 25, 12, 2, 10, 26, 11, 7, 6, 15, 3, 8, 30, 21, 18, 23, 5, 29, 24, 22, 1}",4.790635,"{1, 22, 24, 29, 5, 23, 21, 30, 8, 3, 15, 6, 7, 11, 26, 10, 2, 12, 25, 16, 9, 14, 28, 17, 27, 19, 4, 13, 20, 18, 1}",4.972581,0.037980,0.042968
"{1, 10, 16, 6, 3, 20, 8, 12, 5, 26, 19, 17, 13, 27, 30, 15, 29, 21, 14, 9, 25, 18, 24, 7, 22, 4, 23, 11, 28, 2, 1}",4.021061,"{1, 10, 16, 6, 3, 20, 8, 12, 5, 26, 19, 17, 13, 27, 29, 21, 15, 30, 14, 9, 25, 18, 24, 7, 22, 4, 23, 11, 28, 2, 1}",4.026500,0.001353,0.042814
"{1, 27, 28, 13, 16, 14, 25, 6, 30, 11, 10, 20, 23, 24, 19, 26, 15, 8, 18, 22, 2, 12, 3, 9, 7, 4, 17, 21, 29, 5, 1}",4.709912,"{1, 5, 29, 21, 17, 4, 7, 9, 3, 12, 2, 22, 18, 8, 15, 26, 19, 24, 23, 20, 10, 11, 30, 6, 25, 14, 16, 13, 28, 27, 1}",4.709911,0.000000,0.044520
"{1, 27, 6, 23, 11, 14, 4, 18, 22, 5, 7, 30, 24, 26, 17, 13, 21, 3, 28, 9, 8, 16, 25, 19, 15, 2, 20, 12, 29, 10, 1}",4.288992,"{1, 10, 29, 12, 20, 2, 15, 19, 25, 16, 8, 21, 3, 9, 28, 18, 4, 14, 11, 23, 6, 27, 5, 7, 30, 24, 26, 17, 13, 22, 1}",4.434017,0.033813,0.042854
"{1, 29, 21, 14, 28, 15, 12, 6, 20, 16, 4, 2, 23, 5, 7, 30, 25, 18, 22, 13, 19, 11, 10, 27, 26, 8, 3, 9, 17, 24, 1}",4.391786,"{1, 24, 17, 9, 10, 3, 8, 26, 27, 11, 19, 22, 18, 25, 30, 7, 5, 13, 23, 2, 4, 16, 20, 6, 12, 15, 28, 14, 21, 29, 1}",4.494074,0.023291,0.042807
