optimal_tour,optimal_tour_length,gcn_tour,gcn_tour_length,score,time
"{1, 6, 28, 17, 19, 24, 29, 7, 5, 20, 11, 8, 18, 21, 10, 15, 9, 22, 4, 12, 2, 14, 25, 30, 16, 13, 27, 23, 26, 3, 1}",4.625886,"{1, 3, 26, 23, 27, 16, 13, 30, 25, 14, 2, 12, 4, 22, 9, 15, 10, 21, 18, 8, 11, 20, 5, 7, 29, 24, 19, 17, 28, 6, 1}",4.636454,0.002284,0.092136
"{1, 16, 10, 22, 19, 24, 25, 2, 6, 28, 11, 8, 18, 15, 20, 27, 4, 13, 26, 3, 9, 29, 30, 7, 14, 21, 17, 12, 5, 23, 1}",4.927252,"{1, 23, 5, 26, 3, 21, 12, 17, 14, 7, 30, 9, 29, 20, 15, 18, 8, 27, 4, 13, 25, 11, 28, 6, 2, 22, 16, 10, 19, 24, 1}",5.066378,0.028236,0.092979
"{1, 24, 11, 16, 25, 22, 29, 9, 27, 15, 13, 21, 5, 8, 30, 19, 10, 3, 26, 7, 23, 18, 4, 6, 14, 28, 12, 20, 2, 17, 1}",4.747001,"{1, 17, 2, 20, 12, 28, 14, 6, 13, 21, 5, 18, 4, 23, 7, 26, 3, 10, 19, 30, 8, 15, 27, 9, 29, 22, 25, 24, 11, 16, 1}",4.886998,0.029492,0.094481
"{1, 6, 17, 29, 10, 12, 2, 5, 23, 3, 25, 9, 30, 28, 13, 19, 20, 8, 26, 24, 22, 7, 21, 14, 27, 11, 18, 4, 15, 16, 1}",4.186549,"{1, 16, 15, 4, 18, 11, 27, 14, 21, 7, 22, 24, 19, 13, 28, 30, 9, 25, 3, 23, 5, 2, 12, 10, 29, 17, 6, 20, 8, 26, 1}",4.393456,0.049422,0.092325
"{1, 17, 13, 9, 25, 28, 23, 15, 10, 27, 19, 11, 24, 8, 16, 5, 6, 20, 26, 30, 4, 12, 14, 21, 29, 2, 22, 18, 7, 3, 1}",4.189502,"{1, 3, 7, 18, 22, 2, 29, 14, 21, 12, 4, 30, 26, 20, 6, 5, 16, 8, 24, 11, 27, 19, 10, 15, 23, 28, 25, 9, 13, 17, 1}",4.205045,0.003710,0.093471
"{1, 8, 24, 29, 4, 10, 22, 21, 27, 9, 30, 28, 18, 7, 17, 11, 26, 19, 15, 12, 3, 23, 14, 16, 2, 25, 6, 5, 13, 20, 1}",4.683528,"{1, 8, 4, 29, 24, 13, 5, 6, 25, 2, 16, 14, 23, 3, 12, 15, 19, 26, 11, 17, 7, 18, 28, 30, 9, 27, 21, 22, 10, 20, 1}",4.997913,0.067126,0.089353
"{1, 12, 29, 23, 7, 25, 10, 16, 8, 3, 30, 21, 2, 27, 13, 6, 9, 17, 24, 28, 14, 15, 22, 11, 5, 18, 20, 19, 26, 4, 1}",4.261121,"{1, 12, 29, 23, 7, 25, 10, 16, 8, 30, 21, 2, 27, 13, 6, 9, 17, 24, 28, 14, 15, 3, 22, 11, 5, 18, 20, 19, 26, 4, 1}",4.440691,0.042142,0.089019
"{1, 9, 23, 7, 26, 30, 14, 11, 3, 22, 17, 28, 6, 16, 25, 27, 19, 5, 10, 21, 8, 18, 2, 24, 29, 13, 12, 15, 20, 4, 1}",4.938670,"{1, 9, 26, 30, 7, 23, 14, 11, 3, 22, 17, 28, 6, 16, 25, 27, 19, 5, 10, 21, 8, 18, 2, 24, 29, 13, 12, 15, 4, 20, 1}",5.025289,0.017539,0.092406
"{1, 29, 9, 19, 16, 25, 7, 5, 28, 4, 30, 8, 21, 27, 24, 3, 26, 18, 23, 20, 2, 10, 14, 17, 6, 22, 13, 15, 11, 12, 1}",4.134695,"{1, 29, 9, 12, 11, 15, 22, 13, 6, 17, 14, 10, 2, 20, 23, 18, 3, 24, 26, 27, 21, 8, 30, 4, 28, 5, 7, 25, 16, 19, 1}",4.236618,0.024651,0.090826
"{1, 16, 14, 25, 22, 13, 3, 19, 17, 2, 27, 6, 23, 8, 28, 9, 20, 26, 10, 11, 12, 21, 7, 4, 18, 5, 15, 24, 29, 30, 1}",4.180856,"{1, 16, 14, 25, 22, 13, 3, 19, 17, 2, 27, 6, 20, 26, 9, 28, 8, 23, 10, 11, 12, 21, 7, 4, 18, 5, 15, 24, 29, 30, 1}",4.211650,0.007366,0.089025
"{1, 24, 5, 21, 19, 13, 7, 17, 27, 9, 10, 8, 29, 11, 2, 26, 3, 4, 12, 25, 20, 15, 30, 18, 28, 23, 14, 6, 22, 16, 1}",4.894875,"{1, 24, 5, 21, 13, 19, 17, 7, 2, 11, 29, 8, 27, 9, 10, 12, 25, 20, 15, 30, 4, 3, 26, 16, 22, 6, 14, 23, 28, 18, 1}",5.390686,0.101292,0.091754
"{1, 14, 28, 20, 8, 24, 18, 16, 6, 22, 12, 15, 7, 3, 11, 19, 5, 27, 29, 30, 4, 13, 9, 25, 2, 23, 26, 17, 10, 21, 1}",5.068324,"{1, 7, 15, 12, 14, 28, 22, 6, 18, 16, 24, 8, 20, 21, 10, 17, 26, 23, 2, 25, 13, 9, 4, 30, 29, 27, 5, 19, 11, 3, 1}",5.422996,0.069978,0.092499
"{1, 3, 30, 29, 7, 9, 14, 16, 27, 25, 4, 18, 28, 15, 10, 2, 26, 5, 13, 23, 8, 17, 11, 22, 21, 6, 12, 19, 20, 24, 1}",4.183873,"{1, 24, 20, 19, 12, 6, 21, 22, 11, 17, 23, 13, 8, 5, 26, 2, 10, 15, 28, 18, 4, 25, 27, 16, 14, 9, 7, 29, 30, 3, 1}",4.196673,0.003059,0.091927
"{1, 3, 4, 22, 21, 8, 17, 11, 10, 25, 2, 13, 24, 9, 23, 18, 19, 15, 29, 28, 30, 6, 12, 7, 16, 5, 14, 27, 26, 20, 1}",4.552574,"{1, 20, 27, 14, 5, 26, 16, 7, 12, 6, 30, 28, 29, 15, 19, 18, 23, 9, 24, 13, 2, 25, 10, 11, 17, 21, 8, 22, 4, 3, 1}",4.642402,0.019731,0.092337
"{1, 7, 21, 29, 3, 14, 8, 24, 16, 19, 20, 15, 30, 6, 18, 27, 9, 26, 5, 28, 25, 12, 4, 17, 23, 22, 11, 10, 13, 2, 1}",4.688631,"{1, 11, 22, 23, 17, 4, 12, 25, 28, 5, 26, 9, 27, 18, 6, 30, 29, 21, 7, 3, 14, 20, 15, 19, 16, 24, 8, 2, 10, 13, 1}",4.828711,0.029877,0.092810
"{1, 2, 29, 11, 16, 4, 23, 7, 15, 18, 24, 5, 28, 14, 25, 27, 3, 19, 17, 20, 6, 21, 12, 10, 9, 8, 26, 22, 13, 30, 1}",4.333652,"{1, 26, 22, 13, 30, 2, 29, 11, 8, 9, 16, 4, 23, 7, 15, 18, 24, 5, 28, 14, 25, 27, 21, 12, 10, 6, 20, 17, 19, 3, 1}",4.721107,0.089406,0.093789
"{1, 20, 4, 6, 21, 26, 29, 10, 11, 22, 5, 9, 16, 24, 25, 14, 13, 17, 27, 8, 18, 12, 23, 30, 19, 2, 15, 28, 3, 7, 1}",4.403530,"{1, 7, 20, 4, 6, 21, 26, 29, 10, 11, 22, 5, 9, 16, 24, 25, 14, 13, 27, 8, 18, 12, 17, 23, 30, 19, 2, 15, 28, 3, 1}",4.406174,0.000601,0.090661
"{1, 14, 30, 20, 28, 2, 23, 17, 21, 15, 18, 29, 13, 24, 22, 19, 4, 26, 16, 10, 25, 11, 7, 9, 8, 5, 12, 6, 27, 3, 1}",4.548898,"{1, 3, 27, 14, 30, 20, 28, 2, 23, 17, 21, 15, 18, 29, 13, 24, 22, 19, 4, 26, 16, 10, 25, 11, 7, 9, 8, 5, 12, 6, 1}",4.712323,0.035926,0.092434
"{1, 19, 9, 2, 25, 4, 3, 16, 13, 5, 27, 20, 11, 18, 30, 15, 26, 12, 28, 6, 17, 24, 21, 22, 29, 7, 23, 14, 10, 8, 1}",4.414240,"{1, 19, 9, 2, 25, 4, 3, 8, 14, 10, 23, 7, 29, 21, 24, 17, 28, 6, 22, 12, 26, 15, 30, 18, 16, 13, 5, 27, 20, 11, 1}",4.834907,0.095298,0.092021
"{1, 15, 5, 27, 9, 21, 7, 17, 20, 24, 22, 28, 13, 14, 23, 3, 25, 18, 11, 8, 2, 4, 26, 6, 29, 16, 10, 12, 19, 30, 1}",4.668291,"{1, 30, 19, 20, 17, 24, 22, 28, 13, 7, 5, 15, 27, 9, 21, 14, 23, 3, 25, 18, 11, 8, 2, 4, 26, 6, 29, 16, 10, 12, 1}",4.894792,0.048519,0.091834
"{1, 25, 27, 18, 9, 13, 19, 24, 30, 8, 26, 10, 21, 23, 6, 3, 22, 4, 14, 29, 2, 28, 17, 7, 5, 16, 12, 15, 20, 11, 1}",4.071125,"{1, 11, 25, 27, 18, 9, 13, 19, 24, 30, 8, 26, 10, 21, 3, 22, 6, 23, 14, 4, 29, 2, 28, 17, 7, 5, 16, 12, 15, 20, 1}",4.098504,0.006725,0.091952
"{1, 6, 3, 27, 21, 22, 7, 15, 23, 17, 5, 29, 16, 11, 12, 2, 13, 25, 18, 10, 9, 26, 28, 30, 20, 24, 4, 19, 14, 8, 1}",4.050708,"{1, 6, 3, 27, 21, 7, 22, 15, 23, 17, 5, 29, 16, 11, 12, 2, 13, 25, 18, 10, 9, 26, 28, 8, 14, 19, 4, 24, 20, 30, 1}",4.220753,0.041979,0.091812
"{1, 27, 8, 23, 4, 13, 9, 14, 26, 17, 19, 6, 24, 25, 16, 7, 30, 10, 18, 15, 22, 5, 20, 2, 21, 12, 29, 11, 3, 28, 1}",4.344605,"{1, 28, 3, 11, 29, 12, 21, 2, 20, 5, 22, 15, 18, 10, 30, 7, 16, 25, 24, 6, 19, 17, 26, 14, 9, 13, 8, 27, 23, 4, 1}",4.395581,0.011733,0.092582
"{1, 20, 19, 6, 27, 29, 28, 11, 12, 2, 15, 25, 4, 3, 5, 9, 10, 22, 17, 30, 13, 21, 26, 24, 14, 8, 7, 23, 18, 16, 1}",4.587878,"{1, 16, 18, 23, 7, 8, 14, 24, 26, 21, 13, 30, 17, 22, 10, 9, 5, 3, 4, 25, 15, 2, 12, 11, 28, 29, 27, 6, 19, 20, 1}",4.587878,0.000000,0.091837
"{1, 29, 30, 24, 14, 26, 18, 7, 3, 23, 10, 8, 12, 27, 11, 5, 6, 28, 22, 16, 21, 13, 20, 2, 25, 4, 17, 19, 15, 9, 1}",4.594478,"{1, 29, 18, 7, 3, 23, 10, 8, 27, 11, 5, 22, 6, 28, 16, 21, 13, 12, 20, 2, 25, 4, 17, 19, 15, 9, 30, 24, 14, 26, 1}",4.739481,0.031560,0.092451
"{1, 6, 18, 13, 19, 29, 21, 25, 30, 15, 4, 16, 22, 2, 17, 24, 3, 20, 8, 9, 14, 5, 12, 26, 28, 10, 11, 7, 23, 27, 1}",4.759156,"{1, 27, 23, 7, 11, 10, 28, 26, 12, 5, 14, 9, 8, 20, 3, 24, 17, 2, 22, 16, 4, 15, 30, 25, 21, 29, 19, 13, 18, 6, 1}",4.759157,0.000000,0.092631
"{1, 28, 20, 16, 9, 10, 26, 30, 7, 22, 19, 18, 27, 8, 4, 25, 11, 29, 5, 21, 24, 6, 13, 17, 15, 23, 14, 12, 2, 3, 1}",4.759961,"{1, 28, 20, 16, 9, 10, 26, 30, 7, 22, 19, 18, 27, 8, 4, 25, 29, 11, 6, 13, 24, 5, 21, 17, 15, 23, 14, 12, 2, 3, 1}",4.826383,0.013954,0.093445
"{1, 17, 20, 5, 16, 27, 7, 19, 24, 14, 11, 4, 29, 28, 3, 22, 26, 18, 2, 8, 6, 30, 23, 9, 12, 10, 15, 13, 21, 25, 1}",4.661201,"{1, 17, 5, 16, 27, 7, 19, 14, 24, 11, 4, 26, 18, 2, 22, 3, 29, 28, 8, 6, 30, 23, 9, 12, 10, 15, 13, 21, 25, 20, 1}",4.758994,0.020980,0.093629
"{1, 26, 20, 15, 11, 13, 21, 27, 8, 12, 22, 29, 19, 28, 9, 24, 18, 7, 3, 10, 6, 30, 25, 23, 16, 2, 14, 4, 17, 5, 1}",4.771209,"{1, 26, 5, 17, 4, 14, 2, 23, 25, 16, 24, 9, 28, 29, 19, 22, 8, 12, 27, 21, 13, 11, 15, 20, 6, 10, 3, 7, 18, 30, 1}",5.090712,0.066965,0.091118
"{1, 24, 23, 29, 30, 21, 6, 26, 4, 22, 9, 7, 3, 5, 16, 8, 12, 10, 17, 13, 18, 14, 27, 20, 15, 25, 2, 11, 28, 19, 1}",4.084283,"{1, 19, 28, 11, 17, 10, 12, 8, 16, 5, 3, 7, 9, 22, 4, 26, 6, 21, 30, 29, 23, 24, 20, 27, 15, 14, 25, 2, 13, 18, 1}",4.424974,0.083415,0.090454
"{1, 8, 18, 16, 2, 11, 12, 27, 23, 22, 5, 17, 29, 26, 14, 15, 7, 30, 19, 28, 10, 3, 20, 6, 25, 24, 4, 21, 13, 9, 1}",5.373356,"{1, 9, 13, 21, 4, 24, 25, 6, 20, 3, 10, 28, 19, 30, 7, 15, 14, 26, 29, 17, 5, 22, 23, 27, 12, 11, 2, 16, 18, 8, 1}",5.373356,0.000000,0.091954
"{1, 12, 17, 15, 4, 23, 27, 20, 13, 3, 14, 16, 21, 22, 29, 19, 26, 25, 24, 2, 7, 6, 9, 18, 8, 5, 10, 11, 28, 30, 1}",4.703946,"{1, 12, 30, 17, 15, 4, 23, 27, 20, 13, 21, 22, 29, 19, 26, 2, 24, 25, 16, 3, 14, 9, 7, 6, 28, 11, 10, 5, 8, 18, 1}",4.972661,0.057126,0.091922
"{1, 28, 25, 7, 15, 16, 3, 26, 30, 27, 14, 29, 2, 24, 11, 21, 12, 5, 9, 10, 19, 18, 8, 4, 13, 22, 17, 20, 23, 6, 1}",4.257430,"{1, 28, 27, 30, 26, 3, 16, 15, 7, 25, 17, 22, 4, 13, 8, 18, 20, 23, 6, 14, 29, 2, 24, 11, 21, 12, 5, 9, 10, 19, 1}",4.477661,0.051729,0.091919
"{1, 30, 8, 18, 28, 17, 7, 23, 26, 24, 5, 27, 13, 15, 10, 12, 9, 3, 21, 11, 16, 6, 25, 20, 29, 22, 19, 2, 14, 4, 1}",4.408784,"{1, 4, 14, 30, 8, 18, 28, 17, 7, 23, 26, 24, 5, 9, 12, 10, 27, 13, 15, 11, 21, 16, 6, 3, 20, 25, 29, 22, 19, 2, 1}",4.563567,0.035108,0.093220
"{1, 6, 4, 19, 28, 10, 5, 12, 9, 24, 20, 27, 8, 2, 30, 18, 11, 13, 15, 29, 16, 14, 26, 17, 3, 23, 7, 25, 21, 22, 1}",4.805601,"{1, 22, 21, 25, 7, 23, 3, 14, 16, 29, 15, 13, 26, 17, 11, 18, 30, 2, 8, 27, 24, 9, 12, 5, 10, 20, 28, 19, 4, 6, 1}",4.849983,0.009235,0.089951
"{1, 15, 20, 8, 5, 29, 3, 7, 21, 2, 26, 14, 12, 19, 25, 22, 10, 4, 18, 16, 30, 28, 13, 9, 11, 27, 17, 6, 24, 23, 1}",4.645895,"{1, 15, 20, 17, 6, 24, 23, 3, 7, 2, 26, 14, 12, 19, 25, 21, 29, 5, 8, 27, 11, 9, 13, 28, 30, 16, 18, 4, 10, 22, 1}",5.008141,0.077971,0.091111
"{1, 16, 25, 6, 9, 17, 26, 24, 2, 14, 3, 13, 22, 29, 11, 4, 20, 12, 10, 30, 18, 7, 21, 27, 28, 23, 19, 5, 15, 8, 1}",4.538300,"{1, 16, 25, 6, 9, 17, 26, 24, 2, 14, 3, 13, 22, 29, 11, 15, 8, 4, 20, 12, 10, 30, 18, 7, 21, 27, 28, 23, 19, 5, 1}",4.908160,0.081498,0.093450
"{1, 21, 11, 27, 10, 13, 30, 23, 24, 19, 29, 17, 7, 15, 3, 20, 28, 26, 5, 6, 14, 2, 8, 22, 9, 4, 12, 18, 25, 16, 1}",4.395518,"{1, 16, 21, 11, 27, 10, 13, 30, 23, 24, 19, 29, 17, 7, 15, 3, 20, 28, 26, 8, 5, 6, 2, 14, 9, 22, 4, 12, 18, 25, 1}",4.454213,0.013353,0.092822
"{1, 16, 22, 18, 14, 5, 27, 17, 7, 28, 25, 12, 11, 8, 3, 6, 2, 21, 4, 24, 29, 15, 20, 13, 9, 10, 30, 26, 19, 23, 1}",4.212930,"{1, 23, 19, 26, 30, 10, 9, 13, 20, 15, 29, 24, 4, 21, 2, 6, 3, 8, 11, 12, 25, 28, 7, 17, 27, 5, 14, 18, 22, 16, 1}",4.212931,0.000000,0.093470
"{1, 16, 26, 18, 20, 27, 23, 7, 17, 4, 5, 30, 29, 13, 21, 14, 24, 8, 22, 2, 6, 28, 19, 3, 11, 15, 25, 10, 12, 9, 1}",4.923536,"{1, 9, 12, 10, 25, 15, 11, 3, 19, 28, 6, 2, 22, 8, 24, 14, 21, 13, 29, 30, 5, 4, 17, 7, 23, 27, 20, 18, 26, 16, 1}",4.923536,0.000000,0.092731
"{1, 4, 12, 17, 23, 3, 16, 22, 30, 18, 2, 15, 19, 14, 8, 5, 27, 21, 29, 20, 11, 13, 28, 24, 7, 9, 25, 26, 10, 6, 1}",4.352213,"{1, 4, 12, 17, 23, 3, 16, 22, 30, 14, 8, 19, 18, 2, 15, 5, 27, 21, 29, 20, 11, 13, 25, 9, 28, 24, 7, 26, 10, 6, 1}",4.473383,0.027841,0.092880
"{1, 3, 14, 2, 18, 28, 16, 22, 25, 9, 4, 27, 26, 20, 13, 23, 30, 12, 21, 10, 19, 29, 5, 11, 6, 15, 24, 7, 8, 17, 1}",4.442610,"{1, 17, 8, 16, 22, 25, 4, 9, 27, 28, 2, 14, 3, 18, 26, 20, 13, 23, 30, 12, 21, 10, 19, 29, 5, 11, 6, 15, 24, 7, 1}",4.578823,0.030661,0.092784
"{1, 4, 16, 2, 10, 11, 18, 28, 15, 20, 27, 5, 17, 8, 6, 19, 24, 21, 13, 22, 12, 26, 9, 14, 23, 30, 3, 7, 29, 25, 1}",4.338206,"{1, 25, 2, 10, 11, 18, 16, 4, 28, 15, 20, 17, 8, 6, 19, 5, 27, 24, 21, 13, 22, 12, 26, 14, 9, 23, 30, 29, 7, 3, 1}",4.486627,0.034212,0.092173
"{1, 13, 20, 4, 19, 27, 17, 28, 14, 9, 16, 25, 12, 2, 10, 26, 11, 7, 6, 15, 3, 8, 30, 21, 18, 23, 5, 29, 24, 22, 1}",4.790635,"{1, 22, 24, 29, 5, 23, 21, 30, 8, 3, 15, 6, 7, 11, 26, 10, 2, 12, 25, 16, 9, 14, 28, 17, 27, 19, 4, 13, 20, 18, 1}",4.972581,0.037980,0.092056
"{1, 10, 16, 6, 3, 20, 8, 12, 5, 26, 19, 17, 13, 27, 30, 15, 29, 21, 14, 9, 25, 18, 24, 7, 22, 4, 23, 11, 28, 2, 1}",4.021061,"{1, 10, 6, 16, 3, 20, 8, 12, 5, 26, 19, 17, 13, 27, 30, 15, 29, 21, 14, 9, 25, 18, 24, 7, 22, 4, 23, 2, 28, 11, 1}",4.047682,0.006620,0.093061
"{1, 27, 28, 13, 16, 14, 25, 6, 30, 11, 10, 20, 23, 24, 19, 26, 15, 8, 18, 22, 2, 12, 3, 9, 7, 4, 17, 21, 29, 5, 1}",4.709912,"{1, 5, 29, 21, 17, 4, 7, 9, 3, 12, 2, 22, 18, 8, 15, 26, 19, 24, 23, 20, 10, 11, 30, 6, 25, 14, 16, 13, 28, 27, 1}",4.709911,0.000000,0.092558
"{1, 27, 6, 23, 11, 14, 4, 18, 22, 5, 7, 30, 24, 26, 17, 13, 21, 3, 28, 9, 8, 16, 25, 19, 15, 2, 20, 12, 29, 10, 1}",4.288992,"{1, 10, 12, 29, 20, 2, 15, 19, 25, 16, 8, 3, 21, 9, 28, 18, 4, 14, 11, 23, 6, 27, 5, 7, 30, 24, 26, 17, 13, 22, 1}",4.550991,0.061086,0.090286
"{1, 29, 21, 14, 28, 15, 12, 6, 20, 16, 4, 2, 23, 5, 7, 30, 25, 18, 22, 13, 19, 11, 10, 27, 26, 8, 3, 9, 17, 24, 1}",4.391786,"{1, 24, 17, 9, 3, 8, 26, 27, 10, 11, 19, 22, 18, 25, 30, 7, 5, 23, 13, 2, 4, 16, 20, 6, 12, 15, 28, 14, 21, 29, 1}",4.517323,0.028585,0.090113
